Respondent_ID,Age,Gender,Income_Level,City_Tier,Brand_Name,Price_Fairness,Quality,Availability,Innovation,Customer_Service,Trust,Overall_Preference
R006,36,Male,Medium,Tier-2,ValueMart,6,4,6,2,6,7,6
R006,36,Male,Medium,Tier-2,TrendNest,2,5,4,7,6,5,5
R006,36,Male,Medium,Tier-2,PrimeCart,3,6,5,5,5,7,6
R006,36,Male,Medium,Tier-2,UrbanChoice,5,3,5,5,4,2,4
R006,36,Male,Medium,Tier-2,FreshHub,5,5,3,4,4,4,3
R007,51,Male,Low,Tier-3,ShopEase,6,4,7,5,7,7,3
R007,51,Male,Low,Tier-3,ValueMart,6,4,5,4,4,4,6
R007,51,Male,Low,Tier-3,TrendNest,2,3,6,7,7,6,5
R007,51,Male,Low,Tier-3,PrimeCart,3,5,6,5,4,5,5
R007,51,Male,Low,Tier-3,UrbanChoice,4,5,4,4,3,5,3
R007,51,Male,Low,Tier-3,FreshHub,4,5,6,5,3,5,3
R008,44,Male,High,Tier-3,ShopEase,7,6,4,5,6,6,7
R008,44,Male,High,Tier-3,ValueMart,7,5,6,3,7,6,6
R008,44,Male,High,Tier-3,TrendNest,5,7,5,7,6,6,5
R008,44,Male,High,Tier-3,PrimeCart,3,6,5,6,5,5,5
R008,44,Male,High,Tier-3,UrbanChoice,5,3,4,6,4,3,5
R008,44,Male,High,Tier-3,FreshHub,7,5,5,4,4,6,3
R009,34,Male,High,Tier-1,ShopEase,5,4,4,3,3,4,3
R009,34,Male,High,Tier-1,ValueMart,5,4,4,5,4,5,4
R009,34,Male,High,Tier-1,TrendNest,5,6,5,7,7,5,5
R009,34,Male,High,Tier-1,PrimeCart,6,7,5,6,7,7,7
R009,34,Male,High,Tier-1,UrbanChoice,6,6,7,5,5,6,5
R009,34,Male,High,Tier-1,FreshHub,6,7,5,7,6,7,5
R010,42,Male,Medium,Tier-3,ShopEase,7,5,6,4,4,5,5
R010,42,Male,Medium,Tier-3,ValueMart,7,3,6,6,3,4,6
R010,42,Male,Medium,Tier-3,TrendNest,6,6,7,7,5,5,7
R010,42,Male,Medium,Tier-3,PrimeCart,2,4,2,5,5,5,4
R010,42,Male,Medium,Tier-3,UrbanChoice,4,7,5,4,4,5,4
R010,42,Male,Medium,Tier-3,FreshHub,6,6,5,6,7,5,5
R011,34,Male,Low,Tier-1,ShopEase,4,5,5,3,6,6,5
R011,34,Male,Low,Tier-1,ValueMart,7,3,5,4,3,4,6
R011,34,Male,Low,Tier-1,TrendNest,7,5,5,7,6,5,6
R011,34,Male,Low,Tier-1,PrimeCart,3,7,6,7,6,6,6
R011,34,Male,Low,Tier-1,UrbanChoice,7,6,4,6,6,5,7
R011,34,Male,Low,Tier-1,FreshHub,5,4,2,5,2,5,4
R012,34,Male,Medium,Tier-3,ShopEase,6,5,6,6,5,4,5
R012,34,Male,Medium,Tier-3,ValueMart,4,5,7,3,3,5,3
R012,34,Male,Medium,Tier-3,TrendNest,4,6,5,7,6,5,7
R012,34,Male,Medium,Tier-3,PrimeCart,4,6,4,7,5,5,7
R012,34,Male,Medium,Tier-3,UrbanChoice,6,7,5,6,7,7,6
R012,34,Male,Medium,Tier-3,FreshHub,6,7,6,7,6,5,5
R013,40,Male,Medium,Tier-1,ShopEase,7,7,7,4,5,6,6
R013,40,Male,Medium,Tier-1,ValueMart,5,5,6,4,5,7,6
R013,40,Male,Medium,Tier-1,TrendNest,4,2,4,5,3,2,5
R013,40,Male,Medium,Tier-1,PrimeCart,5,6,7,6,7,7,7
R013,40,Male,Medium,Tier-1,UrbanChoice,5,7,4,5,7,7,6
R013,40,Male,Medium,Tier-1,FreshHub,3,5,4,6,4,5,4
R014,23,Female,High,Tier-3,ShopEase,4,4,3,3,6,6,6
R014,23,Female,High,Tier-3,ValueMart,7,4,6,4,4,4,5
R014,23,Female,High,Tier-3,TrendNest,6,3,5,7,4,3,7
R014,23,Female,High,Tier-3,PrimeCart,3,7,6,6,5,7,7
R014,23,Female,High,Tier-3,UrbanChoice,5,5,5,7,6,5,5
R014,23,Female,High,Tier-3,FreshHub,5,5,5,6,4,4,5
R015,24,Male,Medium,Tier-3,ShopEase,6,6,5,2,6,5,3
R015,24,Male,Medium,Tier-3,ValueMart,7,2,6,5,4,4,5
R015,24,Male,Medium,Tier-3,TrendNest,5,5,5,5,5,1,4
R015,24,Male,Medium,Tier-3,PrimeCart,6,7,5,5,5,6,6
R015,24,Male,Medium,Tier-3,UrbanChoice,5,6,7,6,7,7,7
R015,24,Male,Medium,Tier-3,FreshHub,5,6,6,7,6,7,7
R016,34,Female,Medium,Tier-3,ShopEase,6,3,5,3,3,4,4
R016,34,Female,Medium,Tier-3,ValueMart,4,1,4,2,3,1,3
R016,34,Female,Medium,Tier-3,TrendNest,3,6,5,7,7,4,5
R016,34,Female,Medium,Tier-3,PrimeCart,4,7,6,7,5,6,6
R016,34,Female,Medium,Tier-3,UrbanChoice,6,7,6,7,7,7,7
R016,34,Female,Medium,Tier-3,FreshHub,4,3,2,4,4,5,3
R017,30,Male,Medium,Tier-3,ShopEase,4,6,6,3,4,3,4
R017,30,Male,Medium,Tier-3,ValueMart,7,3,7,5,4,4,4
R017,30,Male,Medium,Tier-3,TrendNest,3,5,5,6,5,6,6
R017,30,Male,Medium,Tier-3,PrimeCart,5,7,7,4,6,7,6
R017,30,Male,Medium,Tier-3,UrbanChoice,5,6,7,5,6,5,5
R017,30,Male,Medium,Tier-3,FreshHub,5,6,4,6,5,5,3
R018,41,Other,Medium,Tier-1,ShopEase,5,7,6,5,7,7,7
R018,41,Other,Medium,Tier-1,ValueMart,7,5,6,3,5,5,5
R018,41,Other,Medium,Tier-1,TrendNest,3,5,3,6,5,5,4
R018,41,Other,Medium,Tier-1,PrimeCart,6,7,4,5,7,6,7
R018,41,Other,Medium,Tier-1,UrbanChoice,5,5,5,4,5,3,4
R018,41,Other,Medium,Tier-1,FreshHub,6,6,5,7,7,7,7
R019,31,Male,Medium,Tier-1,ShopEase,5,6,6,2,5,4,6
R019,31,Male,Medium,Tier-1,ValueMart,5,3,3,3,3,4,2
R019,31,Male,Medium,Tier-1,TrendNest,3,6,7,6,4,5,3
R019,31,Male,Medium,Tier-1,PrimeCart,4,6,6,7,6,7,6
R019,31,Male,Medium,Tier-1,UrbanChoice,5,5,5,6,5,6,6
R019,31,Male,Medium,Tier-1,FreshHub,4,7,4,5,6,7,5
R020,27,Male,Low,Tier-2,ShopEase,5,5,7,3,5,6,5
R020,27,Male,Low,Tier-2,ValueMart,7,6,7,6,6,5,5
R020,27,Male,Low,Tier-2,TrendNest,6,7,6,7,5,6,7
R020,27,Male,Low,Tier-2,PrimeCart,1,4,3,3,2,4,3
R020,27,Male,Low,Tier-2,UrbanChoice,5,7,4,7,7,7,7
R020,27,Male,Low,Tier-2,FreshHub,2,5,4,5,4,5,4
R021,50,Female,Medium,Tier-1,ShopEase,6,5,6,6,5,6,5
R021,50,Female,Medium,Tier-1,ValueMart,5,5,7,3,3,4,4
R021,50,Female,Medium,Tier-1,TrendNest,1,5,4,7,5,5,4
R021,50,Female,Medium,Tier-1,PrimeCart,7,7,7,6,7,7,7
R021,50,Female,Medium,Tier-1,UrbanChoice,6,6,5,7,5,6,7
R021,50,Female,Medium,Tier-1,FreshHub,2,4,2,4,4,5,3
R022,36,Female,Medium,Tier-2,ShopEase,5,5,7,6,6,6,7
R022,36,Female,Medium,Tier-2,ValueMart,6,1,5,2,3,4,6
R022,36,Female,Medium,Tier-2,TrendNest,3,5,3,5,6,6,5
R022,36,Female,Medium,Tier-2,PrimeCart,3,5,4,3,4,5,4
R022,36,Female,Medium,Tier-2,UrbanChoice,5,5,7,5,6,3,5
R022,36,Female,Medium,Tier-2,FreshHub,4,6,4,4,5,6,5
R023,39,Female,High,Tier-1,ShopEase,4,5,6,7,6,6,7
R023,39,Female,High,Tier-1,ValueMart,5,5,7,3,5,6,4
R023,39,Female,High,Tier-1,TrendNest,5,5,4,7,5,5,5
R023,39,Female,High,Tier-1,PrimeCart,4,6,6,4,6,7,4
R023,39,Female,High,Tier-1,UrbanChoice,6,5,6,5,7,6,5
R023,39,Female,High,Tier-1,FreshHub,5,5,3,7,5,6,3
R024,27,Male,Medium,Tier-3,ShopEase,4,4,5,3,4,4,3
R024,27,Male,Medium,Tier-3,ValueMart,6,2,7,2,2,2,5
R024,27,Male,Medium,Tier-3,TrendNest,6,5,5,4,4,3,5
R024,27,Male,Medium,Tier-3,PrimeCart,5,5,5,7,4,5,6
R024,27,Male,Medium,Tier-3,UrbanChoice,7,7,4,6,6,5,6
R024,27,Male,Medium,Tier-3,FreshHub,5,5,4,5,6,5,4
R025,34,Male,Medium,Tier-2,ShopEase,6,2,5,5,4,5,6
R025,34,Male,Medium,Tier-2,ValueMart,6,1,4,2,3,3,5
R025,34,Male,Medium,Tier-2,TrendNest,6,2,5,7,3,3,4
R025,34,Male,Medium,Tier-2,PrimeCart,4,5,5,5,7,7,4
R025,34,Male,Medium,Tier-2,UrbanChoice,7,5,6,7,6,6,6
R025,34,Male,Medium,Tier-2,FreshHub,6,7,4,6,7,7,7
R026,39,Female,High,Tier-3,ShopEase,4,5,7,4,7,6,2
R026,39,Female,High,Tier-3,ValueMart,7,3,5,6,4,4,4
R026,39,Female,High,Tier-3,TrendNest,4,5,6,5,5,3,4
R026,39,Female,High,Tier-3,PrimeCart,3,6,6,5,5,6,3
R026,39,Female,High,Tier-3,UrbanChoice,3,3,5,4,5,5,4
R026,39,Female,High,Tier-3,FreshHub,7,7,4,5,5,6,7
R027,29,Female,Low,Tier-1,ShopEase,4,4,2,5,4,3,2
R027,29,Female,Low,Tier-1,ValueMart,7,2,5,3,5,3,6
R027,29,Female,Low,Tier-1,TrendNest,6,3,3,7,2,4,7
R027,29,Female,Low,Tier-1,PrimeCart,2,5,6,4,5,2,4
R027,29,Female,Low,Tier-1,UrbanChoice,5,5,7,5,7,6,5
R027,29,Female,Low,Tier-1,FreshHub,7,7,5,5,7,6,4
R028,41,Female,High,Tier-3,ShopEase,7,7,7,6,6,6,3
R028,41,Female,High,Tier-3,ValueMart,7,2,7,4,4,5,6
R028,41,Female,High,Tier-3,TrendNest,4,6,5,7,7,6,5
R028,41,Female,High,Tier-3,PrimeCart,4,7,5,7,5,6,7
R028,41,Female,High,Tier-3,UrbanChoice,5,6,5,4,6,5,5
R028,41,Female,High,Tier-3,FreshHub,4,5,4,5,5,5,5
R029,33,Female,Medium,Tier-3,ShopEase,5,5,4,4,5,4,4
R029,33,Female,Medium,Tier-3,ValueMart,3,2,5,3,2,3,2
R029,33,Female,Medium,Tier-3,TrendNest,5,4,7,5,5,4,4
R029,33,Female,Medium,Tier-3,PrimeCart,4,7,5,6,7,7,7
R029,33,Female,Medium,Tier-3,UrbanChoice,4,7,3,5,5,7,6
R029,33,Female,Medium,Tier-3,FreshHub,5,5,3,2,5,4,7
R030,36,Male,Low,Tier-2,ShopEase,4,3,5,4,3,3,5
R030,36,Male,Low,Tier-2,ValueMart,1,5,4,5,5,6,6
R030,36,Male,Low,Tier-2,TrendNest,5,2,3,6,3,4,5
R030,36,Male,Low,Tier-2,PrimeCart,5,7,5,6,6,7,6
R030,36,Male,Low,Tier-2,UrbanChoice,5,4,3,7,4,3,6
R030,36,Male,Low,Tier-2,FreshHub,4,4,7,5,5,4,4
R031,33,Female,Medium,Tier-2,ShopEase,6,4,6,4,5,4,4
R031,33,Female,Medium,Tier-2,ValueMart,7,5,7,5,5,6,6
R031,33,Female,Medium,Tier-2,TrendNest,4,7,7,7,7,7,1
R031,33,Female,Medium,Tier-2,PrimeCart,5,5,5,5,6,6,5
R031,33,Female,Medium,Tier-2,UrbanChoice,4,2,6,5,4,4,6
R031,33,Female,Medium,Tier-2,FreshHub,6,6,6,6,6,7,5
R032,53,Male,Medium,Tier-3,ShopEase,6,3,5,5,6,4,2
R032,53,Male,Medium,Tier-3,ValueMart,5,3,7,2,3,3,3
R032,53,Male,Medium,Tier-3,TrendNest,3,4,5,5,6,3,5
R032,53,Male,Medium,Tier-3,PrimeCart,5,6,7,4,5,5,4
R032,53,Male,Medium,Tier-3,UrbanChoice,5,5,6,4,5,4,4
R032,53,Male,Medium,Tier-3,FreshHub,6,7,7,6,7,7,7
R033,38,Male,Low,Tier-1,ShopEase,5,6,7,5,6,5,4
R033,38,Male,Low,Tier-1,ValueMart,5,3,6,1,5,4,5
R033,38,Male,Low,Tier-1,TrendNest,5,6,5,6,7,6,7
R033,38,Male,Low,Tier-1,PrimeCart,5,7,6,7,7,7,7
R033,38,Male,Low,Tier-1,UrbanChoice,6,4,5,6,6,6,6
R033,38,Male,Low,Tier-1,FreshHub,6,4,4,7,5,6,6
R034,30,Male,Medium,Tier-2,ShopEase,5,5,4,3,5,6,4
R034,30,Male,Medium,Tier-2,ValueMart,5,5,6,3,4,4,4
R034,30,Male,Medium,Tier-2,TrendNest,2,6,5,4,4,4,7
R034,30,Male,Medium,Tier-2,PrimeCart,4,6,5,4,5,1,4
R034,30,Male,Medium,Tier-2,UrbanChoice,6,6,3,4,5,5,6
R034,30,Male,Medium,Tier-2,FreshHub,5,5,3,7,6,7,5
R035,45,Female,Medium,Tier-1,ShopEase,6,7,7,5,6,6,6
R035,45,Female,Medium,Tier-1,ValueMart,7,5,4,6,6,5,4
R035,45,Female,Medium,Tier-1,TrendNest,5,5,6,7,5,5,3
R035,45,Female,Medium,Tier-1,PrimeCart,2,5,4,6,6,5,4
R035,45,Female,Medium,Tier-1,UrbanChoice,5,7,5,7,7,5,6
R035,45,Female,Medium,Tier-1,FreshHub,3,7,5,4,4,7,5
R036,28,Male,Medium,Tier-1,ShopEase,3,5,7,4,6,6,5
R036,28,Male,Medium,Tier-1,ValueMart,7,5,6,4,6,5,6
R036,28,Male,Medium,Tier-1,TrendNest,4,6,7,4,6,7,5
R036,28,Male,Medium,Tier-1,PrimeCart,4,5,3,6,5,6,7
R036,28,Male,Medium,Tier-1,UrbanChoice,7,7,4,5,4,4,6
R036,28,Male,Medium,Tier-1,FreshHub,4,7,3,6,4,6,5
R037,40,Male,Low,Tier-1,ShopEase,7,6,7,6,7,7,7
R037,40,Male,Low,Tier-1,ValueMart,7,5,7,4,6,6,7
R037,40,Male,Low,Tier-1,TrendNest,4,4,6,6,4,4,6
R037,40,Male,Low,Tier-1,PrimeCart,4,7,6,5,6,6,6
R037,40,Male,Low,Tier-1,UrbanChoice,7,5,4,6,6,5,5
R037,40,Male,Low,Tier-1,FreshHub,5,6,5,7,6,7,7
R038,22,Female,High,Tier-1,ShopEase,5,4,6,4,4,4,4
R038,22,Female,High,Tier-1,ValueMart,5,4,7,4,5,4,3
R038,22,Female,High,Tier-1,TrendNest,5,4,5,4,5,5,4
R038,22,Female,High,Tier-1,PrimeCart,2,7,6,7,7,7,7
R038,22,Female,High,Tier-1,UrbanChoice,5,3,6,5,4,3,5
R038,22,Female,High,Tier-1,FreshHub,4,6,6,3,5,6,5
R039,27,Male,High,Tier-1,ShopEase,7,2,6,5,5,5,6
R039,27,Male,High,Tier-1,ValueMart,7,5,7,3,4,4,6
R039,27,Male,High,Tier-1,TrendNest,4,6,7,7,5,7,7
R039,27,Male,High,Tier-1,PrimeCart,3,7,6,7,7,7,4
R039,27,Male,High,Tier-1,UrbanChoice,5,7,7,7,5,5,6
R039,27,Male,High,Tier-1,FreshHub,6,7,6,3,7,7,6
R040,40,Female,High,Tier-1,ShopEase,2,3,4,1,4,3,2
R040,40,Female,High,Tier-1,ValueMart,4,2,5,3,3,3,4
R040,40,Female,High,Tier-1,TrendNest,5,5,5,7,5,4,4
R040,40,Female,High,Tier-1,PrimeCart,4,7,5,7,7,7,7
R040,40,Female,High,Tier-1,UrbanChoice,4,4,4,5,2,5,5
R040,40,Female,High,Tier-1,FreshHub,5,7,4,7,5,4,6
R041,44,Male,Medium,Tier-3,ShopEase,4,5,5,6,5,5,5
R041,44,Male,Medium,Tier-3,ValueMart,6,4,5,2,4,5,6
R041,44,Male,Medium,Tier-3,TrendNest,3,7,5,7,7,6,4
R041,44,Male,Medium,Tier-3,PrimeCart,3,6,6,7,6,5,6
R041,44,Male,Medium,Tier-3,UrbanChoice,7,5,4,5,3,4,5
R041,44,Male,Medium,Tier-3,FreshHub,5,7,4,7,6,6,7
R042,39,Female,Low,Tier-2,ShopEase,4,4,4,5,5,5,4
R042,39,Female,Low,Tier-2,ValueMart,5,3,6,2,4,4,4
R042,39,Female,Low,Tier-2,TrendNest,2,5,6,4,6,6,6
R042,39,Female,Low,Tier-2,PrimeCart,3,6,4,4,6,4,6
R042,39,Female,Low,Tier-2,UrbanChoice,7,4,5,6,5,5,6
R042,39,Female,Low,Tier-2,FreshHub,7,7,5,6,7,7,7
R043,37,Female,Medium,Tier-3,ShopEase,6,5,6,4,7,5,5
R043,37,Female,Medium,Tier-3,ValueMart,7,5,6,4,3,7,6
R043,37,Female,Medium,Tier-3,TrendNest,3,3,6,6,4,4,4
R043,37,Female,Medium,Tier-3,PrimeCart,3,7,6,5,7,7,5
R043,37,Female,Medium,Tier-3,UrbanChoice,6,5,5,5,5,5,4
R043,37,Female,Medium,Tier-3,FreshHub,6,5,3,5,3,5,3
R044,36,Male,Low,Tier-2,ShopEase,4,4,7,4,5,5,5
R044,36,Male,Low,Tier-2,ValueMart,4,5,7,5,4,4,5
R044,36,Male,Low,Tier-2,TrendNest,5,5,6,6,6,6,7
R044,36,Male,Low,Tier-2,PrimeCart,2,7,3,6,6,6,5
R044,36,Male,Low,Tier-2,UrbanChoice,5,3,4,7,5,4,3
R044,36,Male,Low,Tier-2,FreshHub,5,7,6,5,7,7,5
R045,26,Male,Low,Tier-1,ShopEase,5,4,7,6,5,5,4
R045,26,Male,Low,Tier-1,ValueMart,6,3,3,4,5,5,5
R045,26,Male,Low,Tier-1,TrendNest,7,7,5,7,7,7,7
R045,26,Male,Low,Tier-1,PrimeCart,4,5,6,5,6,5,3
R045,26,Male,Low,Tier-1,UrbanChoice,6,5,6,6,4,5,5
R045,26,Male,Low,Tier-1,FreshHub,7,5,5,4,7,6,5
R046,32,Male,Medium,Tier-2,ShopEase,3,6,6,4,5,6,5
R046,32,Male,Medium,Tier-2,ValueMart,7,5,5,5,5,5,7
R046,32,Male,Medium,Tier-2,TrendNest,5,5,5,7,3,4,4
R046,32,Male,Medium,Tier-2,PrimeCart,3,7,5,7,5,7,5
R046,32,Male,Medium,Tier-2,UrbanChoice,7,6,4,5,7,5,6
R046,32,Male,Medium,Tier-2,FreshHub,5,5,4,6,6,5,5
R047,34,Male,Medium,Tier-2,ShopEase,5,3,7,1,4,6,4
R047,34,Male,Medium,Tier-2,ValueMart,5,2,4,3,3,3,4
R047,34,Male,Medium,Tier-2,TrendNest,4,6,6,5,6,6,5
R047,34,Male,Medium,Tier-2,PrimeCart,5,6,4,6,6,7,6
R047,34,Male,Medium,Tier-2,UrbanChoice,1,7,6,5,7,6,4
R047,34,Male,Medium,Tier-2,FreshHub,4,7,5,4,5,5,4
R048,46,Other,Medium,Tier-1,ShopEase,4,6,5,2,6,5,5
R048,46,Other,Medium,Tier-1,ValueMart,5,4,4,4,3,5,4
R048,46,Other,Medium,Tier-1,TrendNest,5,6,5,7,5,6,5
R048,46,Other,Medium,Tier-1,PrimeCart,6,7,7,7,7,7,7
R048,46,Other,Medium,Tier-1,UrbanChoice,5,7,5,7,7,7,4
R048,46,Other,Medium,Tier-1,FreshHub,5,6,4,3,4,5,4
R049,41,Male,Medium,Tier-2,ShopEase,5,6,7,3,7,5,4
R049,41,Male,Medium,Tier-2,ValueMart,7,2,5,3,5,4,5
R049,41,Male,Medium,Tier-2,TrendNest,2,4,5,4,3,4,4
R049,41,Male,Medium,Tier-2,PrimeCart,5,6,6,6,5,7,7
R049,41,Male,Medium,Tier-2,UrbanChoice,5,6,7,4,5,5,6
R049,41,Male,Medium,Tier-2,FreshHub,4,7,3,6,7,7,4
R050,24,Female,Medium,Tier-1,ShopEase,5,4,4,4,6,6,5
R050,24,Female,Medium,Tier-1,ValueMart,6,5,6,2,2,4,4
R050,24,Female,Medium,Tier-1,TrendNest,3,3,4,7,6,3,4
R050,24,Female,Medium,Tier-1,PrimeCart,6,7,5,7,7,7,7
R050,24,Female,Medium,Tier-1,UrbanChoice,4,6,7,5,4,4,4
R050,24,Female,Medium,Tier-1,FreshHub,4,4,4,5,6,4,3
R051,41,Male,Medium,Tier-2,ShopEase,4,4,5,3,7,4,4
R051,41,Male,Medium,Tier-2,ValueMart,6,2,5,2,1,3,4
R051,41,Male,Medium,Tier-2,TrendNest,6,6,7,3,5,6,5
R051,41,Male,Medium,Tier-2,PrimeCart,4,6,6,6,7,7,6
R051,41,Male,Medium,Tier-2,UrbanChoice,3,6,4,6,7,6,6
R051,41,Male,Medium,Tier-2,FreshHub,4,6,4,5,5,4,4
R052,35,Female,High,Tier-2,ShopEase,7,4,5,4,7,5,6
R052,35,Female,High,Tier-2,ValueMart,5,3,5,4,5,5,3
R052,35,Female,High,Tier-2,TrendNest,4,6,4,5,7,5,7
R052,35,Female,High,Tier-2,PrimeCart,3,6,4,7,4,6,6
R052,35,Female,High,Tier-2,UrbanChoice,4,7,3,6,7,3,5
R052,35,Female,High,Tier-2,FreshHub,4,7,6,6,6,6,7
R053,33,Female,Medium,Tier-1,ShopEase,7,6,7,5,5,7,6
R053,33,Female,Medium,Tier-1,ValueMart,6,4,6,4,4,5,4
R053,33,Female,Medium,Tier-1,TrendNest,4,7,7,6,5,1,6
R053,33,Female,Medium,Tier-1,PrimeCart,6,7,5,6,6,5,5
R053,33,Female,Medium,Tier-1,UrbanChoice,3,4,5,3,5,6,3
R053,33,Female,Medium,Tier-1,FreshHub,4,6,3,4,6,5,4
R054,43,Female,Medium,Tier-1,ShopEase,6,6,7,4,5,6,6
R054,43,Female,Medium,Tier-1,ValueMart,5,4,7,4,3,5,5
R054,43,Female,Medium,Tier-1,TrendNest,4,6,4,5,3,6,4
R054,43,Female,Medium,Tier-1,PrimeCart,4,7,5,5,7,6,7
R054,43,Female,Medium,Tier-1,UrbanChoice,4,5,5,6,5,6,5
R054,43,Female,Medium,Tier-1,FreshHub,4,5,5,5,5,4,3
R055,46,Male,Low,Tier-3,ShopEase,6,5,6,5,6,5,7
R055,46,Male,Low,Tier-3,ValueMart,4,5,6,3,4,4,3
R055,46,Male,Low,Tier-3,TrendNest,6,6,5,5,7,7,6
R055,46,Male,Low,Tier-3,PrimeCart,3,5,3,5,5,5,6
R055,46,Male,Low,Tier-3,UrbanChoice,5,4,5,7,5,5,4
R055,46,Male,Low,Tier-3,FreshHub,6,7,5,7,5,5,6
R056,45,Male,Medium,Tier-2,ShopEase,3,6,5,6,5,6,5
R056,45,Male,Medium,Tier-2,ValueMart,3,1,5,2,1,1,1
R056,45,Male,Medium,Tier-2,TrendNest,3,7,5,6,4,6,6
R056,45,Male,Medium,Tier-2,PrimeCart,3,7,6,5,5,6,5
R056,45,Male,Medium,Tier-2,UrbanChoice,4,6,5,6,5,4,4
R056,45,Male,Medium,Tier-2,FreshHub,4,6,3,5,6,6,3
R057,31,Male,Medium,Tier-1,ShopEase,5,5,6,2,4,5,4
R057,31,Male,Medium,Tier-1,ValueMart,6,4,5,3,3,3,3
R057,31,Male,Medium,Tier-1,TrendNest,5,5,4,5,5,4,5
R057,31,Male,Medium,Tier-1,PrimeCart,3,4,6,6,4,4,4
R057,31,Male,Medium,Tier-1,UrbanChoice,5,5,6,7,6,7,6
R057,31,Male,Medium,Tier-1,FreshHub,6,6,5,5,5,5,6
R058,36,Female,Low,Tier-3,ShopEase,7,3,7,5,6,4,4
R058,36,Female,Low,Tier-3,ValueMart,5,5,7,6,5,5,4
R058,36,Female,Low,Tier-3,TrendNest,6,7,5,7,7,7,7
R058,36,Female,Low,Tier-3,PrimeCart,3,5,4,6,6,5,4
R058,36,Female,Low,Tier-3,UrbanChoice,5,7,5,7,7,6,6
R058,36,Female,Low,Tier-3,FreshHub,5,5,4,6,5,5,4
R059,41,Female,Low,Tier-1,ShopEase,6,5,6,5,5,5,5
R059,41,Female,Low,Tier-1,ValueMart,7,4,5,2,5,6,5
R059,41,Female,Low,Tier-1,TrendNest,3,7,5,7,5,6,5
R059,41,Female,Low,Tier-1,PrimeCart,4,5,5,4,5,5,3
R059,41,Female,Low,Tier-1,UrbanChoice,6,5,5,7,5,4,6
R059,41,Female,Low,Tier-1,FreshHub,5,4,3,5,7,5,5
R060,46,Female,Medium,Tier-2,ShopEase,5,5,7,4,4,5,4
R060,46,Female,Medium,Tier-2,ValueMart,4,4,7,3,2,4,5
R060,46,Female,Medium,Tier-2,TrendNest,4,5,5,5,6,5,5
R060,46,Female,Medium,Tier-2,PrimeCart,3,7,5,5,6,7,5
R060,46,Female,Medium,Tier-2,UrbanChoice,4,7,7,7,7,7,7
R060,46,Female,Medium,Tier-2,FreshHub,4,4,4,6,5,5,4
R061,34,Male,Medium,Tier-3,ShopEase,5,2,6,5,5,2,3
R061,34,Male,Medium,Tier-3,ValueMart,6,5,7,5,5,5,4
R061,34,Male,Medium,Tier-3,TrendNest,3,6,6,7,7,6,5
R061,34,Male,Medium,Tier-3,PrimeCart,3,5,3,7,5,5,5
R061,34,Male,Medium,Tier-3,UrbanChoice,3,6,6,5,4,4,4
