Transaction_ID,Customer_ID,Customer_Segment,Product_Category,Product_Name,Quantity,Unit_Price,Purchase_Date,,,
T036,C479,regular,FMCG,Chips,9,338,20-12-2023,,,
T036,C479,regular,FMCG,Cola,2,378,27-10-2023,,,
T037,C115,regular,Fashion,Scarf,3,3961,28-12-2023,,,
T038,C344,regular,Home_Goods,Dinner Set,1,1356,27-07-2023,,,
T039,C279,regular,Fashion,Shirt,1,871,14-06-2023,,,
T039,C279,regular,Fashion,Trouser,1,1945,02-10-2023,,,
T040,C021,regular,Grocery,Tea,5,1426,04-04-2023,,,
T040,C021,regular,FMCG,Biscuits,6,440,17-08-2023,,,
T041,C458,regular,Home_Goods,Pillow,4,6494,18-05-2023,,,
T041,C458,regular,Home_Goods,Table Lamp,1,2162,17-09-2023,,,
T042,C320,regular,FMCG,Biscuits,3,485,17-09-2023,,,
T043,C268,regular,Fashion,Dress,3,2013,16-08-2023,,,
T043,C268,regular,Fashion,Handbag,1,4833,06-06-2023,,,
T043,C268,regular,Fashion,Shoes,3,533,09-07-2023,,,
T044,C001,regular,Fashion,Shirt,2,1694,16-04-2023,,,
T045,C008,regular,Beauty,Compact Powder,2,1262,01-09-2023,,,
T046,C160,premium,Grocery,Sugar,10,1644,20-05-2023,,,
T046,C160,premium,Grocery,Salt,3,1989,17-09-2023,,,
T047,C059,regular,Grocery,Coffee,7,251,28-12-2023,,,
T048,C070,premium,Fashion,Jacket,3,2226,23-08-2023,,,
T049,C091,regular,FMCG,Soap,4,115,09-08-2023,,,
T049,C091,regular,FMCG,Shampoo,9,455,25-07-2023,,,
T050,C262,regular,Beauty,Nail Polish,4,491,15-11-2023,,,
T051,C276,regular,Fashion,Jacket,2,4167,17-08-2023,,,
T052,C452,regular,Home_Goods,Wall Clock,1,2258,05-05-2023,,,
T053,C050,regular,Fashion,Shirt,1,4043,02-10-2023,,,
T053,C050,regular,Fashion,Trouser,3,2212,01-03-2023,,,
T053,C050,regular,Beauty,Compact Powder,3,1296,13-12-2023,,,
T054,C464,regular,Electronics,Mobile Phone,2,10238,15-09-2023,,,
T055,C472,regular,Electronics,Smartwatch,1,3522,03-06-2023,,,
T056,C195,regular,FMCG,Instant Noodles,8,433,25-04-2023,,,
T057,C238,regular,Fashion,Jacket,4,4631,27-12-2023,,,
T058,C116,premium,Fashion,Scarf,1,2114,15-05-2023,,,
T059,C369,regular,Fashion,Shirt,3,2878,05-05-2023,,,
T059,C369,regular,Fashion,Trouser,2,665,08-01-2023,,,
T060,C412,regular,Grocery,Sugar,7,569,09-09-2023,,,
T060,C412,regular,Grocery,Breakfast Cereal,8,875,21-07-2023,,,
T061,C111,regular,FMCG,Juice,4,148,21-06-2023,,,
T062,C336,regular,Fashion,Belt,2,4945,09-10-2023,,,
T063,C234,premium,Electronics,Smartwatch,1,12216,17-12-2023,,,
T064,C249,regular,Fashion,Shirt,4,3935,22-07-2023,,,
T064,C249,regular,Fashion,Trouser,2,2330,26-06-2023,,,
T065,C172,regular,FMCG,Soap,10,189,24-01-2023,,,
T065,C172,regular,FMCG,Shampoo,2,353,09-04-2023,,,
T065,C172,regular,Electronics,Charger,1,4838,19-11-2023,,,
T066,C252,regular,Electronics,Smartwatch,1,2496,10-05-2023,,,
T067,C411,regular,FMCG,Chips,5,124,24-03-2023,,,
T068,C140,regular,Beauty,Skincare Set,3,927,22-04-2023,,,
T068,C140,regular,Beauty,Hair Serum,4,957,13-07-2023,,,
T068,C140,regular,Beauty,Perfume,4,1926,15-10-2023,,,
T068,C140,regular,Beauty,Face Wash,3,552,03-11-2023,,,
T069,C053,regular,Beauty,Face Wash,1,1053,28-02-2023,,,
T069,C053,regular,Beauty,Compact Powder,2,1721,21-02-2023,,,
T069,C053,regular,Beauty,Skincare Set,1,887,26-09-2023,,,
T070,C454,regular,Grocery,Cooking Oil,2,223,12-04-2023,,,
T070,C454,regular,Grocery,Spices Pack,2,710,25-06-2023,,,
T070,C454,regular,Grocery,Tea,6,1678,26-06-2023,,,
T070,C454,regular,Grocery,Sugar,2,252,26-05-2023,,,
T071,C257,premium,Electronics,Mobile Phone,1,4233,10-10-2023,,,
T071,C257,premium,Electronics,Charger,2,29760,20-12-2023,,,
T071,C257,premium,Electronics,Earphones,1,7604,06-07-2023,,,
T072,C215,premium,Electronics,Laptop,1,12037,10-12-2023,,,
T072,C215,premium,Electronics,Mouse,1,26354,27-12-2023,,,
T073,C281,regular,Fashion,Shirt,1,483,17-11-2023,,,
T073,C281,regular,Fashion,Trouser,2,4869,25-09-2023,,,
T074,C492,regular,FMCG,Shampoo,7,177,25-04-2023,,,
T075,C442,regular,Electronics,Mobile Phone,1,14454,23-11-2023,,,
T075,C442,regular,Electronics,Charger,1,13659,09-11-2023,,,
T075,C442,regular,Electronics,Earphones,1,24611,05-11-2023,,,
T076,C196,regular,Fashion,Shirt,4,4058,23-02-2023,,,
T076,C196,regular,Fashion,Trouser,2,2133,20-09-2023,,,
T076,C196,regular,Grocery,Coffee,2,1755,08-10-2023,,,
T077,C084,regular,Home_Goods,Storage Box,3,2857,05-07-2023,,,
T078,C341,regular,Grocery,Wheat Flour,4,1950,16-04-2023,,,
T079,C456,regular,FMCG,Soap,3,483,11-09-2023,,,
T079,C456,regular,FMCG,Shampoo,4,315,10-05-2023,,,
T079,C456,regular,Grocery,Coffee,8,608,11-07-2023,,,
T080,C191,regular,Fashion,T-shirt,4,4353,10-03-2023,,,
T080,C191,regular,Fashion,Jeans,3,3282,10-11-2023,,,
T080,C191,regular,Fashion,Belt,2,4996,18-08-2023,,,
T081,C115,regular,FMCG,Soap,9,468,06-02-2023,,,
T081,C115,regular,FMCG,Shampoo,9,75,18-05-2023,,,
T082,C291,regular,Grocery,Rice,3,1762,15-11-2023,,,
T082,C291,regular,Grocery,Cooking Oil,2,973,17-09-2023,,,
T082,C291,regular,Grocery,Spices Pack,7,1277,17-12-2023,,,
T082,C291,regular,Beauty,Skincare Set,1,1013,03-03-2023,,,
T082,C291,regular,FMCG,Toothpaste,2,311,08-07-2023,,,
T083,C061,regular,FMCG,Soap,4,263,04-03-2023,,,
T083,C061,regular,FMCG,Shampoo,9,476,23-07-2023,,,
T083,C061,regular,Home_Goods,Table Lamp,2,1258,28-02-2023,,,
T084,C009,regular,Beauty,Skincare Set,2,1472,26-12-2023,,,
T084,C009,regular,Beauty,Face Cream,4,1122,19-03-2023,,,
T084,C009,regular,Beauty,Face Wash,1,1194,26-02-2023,,,
T085,C059,regular,Electronics,Mouse,2,3730,07-12-2023,,,
T086,C298,regular,Electronics,Mobile Phone,2,5952,15-11-2023,,,
T086,C298,regular,Electronics,Charger,1,23495,18-12-2023,,,
T086,C298,regular,Electronics,Earphones,1,13450,14-05-2023,,,
T087,C292,regular,FMCG,Juice,6,71,21-02-2023,,,
T088,C364,regular,Fashion,Scarf,1,3873,27-10-2023,,,
T088,C364,regular,Fashion,Jacket,3,470,14-06-2023,,,
T088,C364,regular,Fashion,Dress,4,1882,26-05-2023,,,
T088,C364,regular,Fashion,Shoes,2,3028,18-04-2023,,,
T088,C364,regular,Fashion,Handbag,4,3182,22-10-2023,,,
T089,C440,regular,FMCG,Soap,8,267,01-03-2023,,,
T089,C440,regular,FMCG,Shampoo,3,62,28-12-2023,,,
T090,C237,regular,Fashion,Dress,3,4998,14-05-2023,,,
T090,C237,regular,Fashion,Belt,1,2838,12-05-2023,,,
T091,C320,regular,FMCG,Soap,3,494,17-01-2023,,,
T091,C320,regular,FMCG,Shampoo,7,144,02-02-2023,,,
T092,C244,regular,Fashion,Shirt,2,4067,16-02-2023,,,
T092,C244,regular,Fashion,Trouser,4,2784,13-03-2023,,,
T092,C244,regular,Home_Goods,Dinner Set,1,2699,27-02-2023,,,
T092,C244,regular,Home_Goods,Curtains,4,5410,01-08-2023,,,
T093,C174,regular,FMCG,Soap,4,259,27-09-2023,,,
T093,C174,regular,FMCG,Shampoo,10,365,25-08-2023,,,
T093,C174,regular,Grocery,Cooking Oil,10,136,01-04-2023,,,
T094,C470,regular,FMCG,Shampoo,5,446,27-03-2023,,,
T095,C338,regular,Grocery,Rice,4,919,16-10-2023,,,
T095,C338,regular,Grocery,Cooking Oil,9,1544,25-09-2023,,,
T095,C338,regular,Grocery,Spices Pack,5,1288,24-03-2023,,,
T096,C195,regular,FMCG,Soap,4,378,19-04-2023,,,
T096,C195,regular,FMCG,Shampoo,6,204,13-12-2023,,,
T097,C290,regular,Grocery,Salt,7,1390,01-04-2023,,,
T098,C342,regular,Beauty,Compact Powder,2,579,13-03-2023,,,
T098,C342,regular,Beauty,Skincare Set,3,1387,16-03-2023,,,
T099,C193,regular,FMCG,Soap,7,305,17-08-2023,,,
T099,C193,regular,FMCG,Shampoo,4,106,24-06-2023,,,
T100,C216,regular,Grocery,Spices Pack,2,598,19-12-2023,,,
T100,C216,regular,Grocery,Tea,5,1840,18-12-2023,,,
T101,C293,regular,Fashion,Shirt,3,2353,25-01-2023,,,
T101,C293,regular,Fashion,Trouser,1,700,26-04-2023,,,
T102,C314,regular,Home_Goods,Storage Box,1,3904,09-07-2023,,,
T102,C314,regular,Home_Goods,Table Lamp,1,6813,15-06-2023,,,
T102,C314,regular,Home_Goods,Cookware Set,4,4700,17-05-2023,,,
T102,C314,regular,Home_Goods,Dinner Set,4,2208,02-08-2023,,,
T103,C135,premium,Electronics,Mobile Phone,2,14185,25-11-2023,,,
T103,C135,premium,Electronics,Charger,1,18928,03-11-2023,,,
T103,C135,premium,Electronics,Earphones,1,13812,27-05-2023,,,
T104,C067,premium,Beauty,Skincare Set,2,1345,10-05-2023,,,
T104,C067,premium,Beauty,Face Cream,3,127,12-09-2023,,,
T104,C067,premium,Beauty,Face Wash,4,105,07-12-2023,,,
T104,C067,premium,FMCG,Instant Noodles,10,249,08-05-2023,,,
T105,C152,regular,FMCG,Juice,2,391,17-08-2023,,,
T105,C152,regular,FMCG,Soap,4,414,28-04-2023,,,
T106,C413,regular,Electronics,Laptop,1,6999,09-12-2023,,,
T106,C413,regular,Electronics,Mouse,1,21056,07-07-2023,,,
T107,C027,regular,Fashion,Shirt,2,4016,09-08-2023,,,
T108,C072,regular,FMCG,Cola,10,341,02-01-2023,,,
T108,C072,regular,FMCG,Instant Noodles,5,492,02-02-2023,,,
T108,C072,regular,FMCG,Biscuits,5,389,15-03-2023,,,
T109,C305,regular,Beauty,Compact Powder,3,1807,16-03-2023,,,
T109,C305,regular,Beauty,Perfume,4,315,23-02-2023,,,
T110,C364,regular,Fashion,Shirt,3,2867,03-01-2023,,,
T110,C364,regular,Fashion,Dress,4,1971,28-05-2023,,,
T111,C474,regular,Electronics,Laptop,2,13506,05-11-2023,,,
T111,C474,regular,Electronics,Mouse,1,10123,09-04-2023,,,
T112,C061,regular,Grocery,Tea,5,1605,17-10-2023,,,
T112,C061,regular,FMCG,Biscuits,6,444,11-01-2023,,,
T113,C223,regular,Home_Goods,Dinner Set,2,7302,28-06-2023,,,
T114,C063,premium,Fashion,Shirt,1,3902,24-03-2023,,,
T114,C063,premium,Fashion,Trouser,3,4015,22-07-2023,,,
T114,C063,premium,FMCG,Instant Noodles,5,442,16-12-2023,,,
T115,C344,regular,Beauty,Lipstick,1,1624,25-03-2023,,,
T115,C344,regular,Beauty,Skincare Set,4,1958,18-07-2023,,,
T115,C344,regular,Beauty,Body Lotion,3,1751,05-03-2023,,,
T115,C344,regular,Beauty,Perfume,2,772,23-11-2023,,,
T116,C227,regular,Beauty,Skincare Set,4,1408,28-02-2023,,,
T116,C227,regular,Beauty,Face Cream,4,786,02-02-2023,,,
T116,C227,regular,Beauty,Face Wash,1,1625,14-03-2023,,,
T117,C276,regular,Fashion,Shirt,4,3397,10-11-2023,,,
T118,C396,regular,FMCG,Toothbrush,6,268,11-05-2023,,,
T119,C094,regular,Grocery,Cooking Oil,7,532,03-11-2023,,,
T120,C460,regular,Grocery,Tea,7,451,07-07-2023,,,
T120,C460,regular,FMCG,Biscuits,7,81,05-11-2023,,,
T121,C367,regular,Grocery,Rice,2,258,18-10-2023,,,
T121,C367,regular,Grocery,Cooking Oil,9,939,21-07-2023,,,
T121,C367,regular,Grocery,Spices Pack,5,1858,14-02-2023,,,
T122,C375,regular,Grocery,Sugar,7,117,22-01-2023,,,
T122,C375,regular,Grocery,Breakfast Cereal,5,815,08-07-2023,,,
T122,C375,regular,Grocery,Rice,7,1340,19-10-2023,,,
T123,C079,regular,Fashion,Shirt,2,614,09-05-2023,,,
T123,C079,regular,Fashion,Trouser,3,4805,24-12-2023,,,
T124,C113,regular,Home_Goods,Bath Towel,3,2078,04-04-2023,,,
T125,C170,regular,FMCG,Chips,4,316,22-10-2023,,,
T125,C170,regular,FMCG,Cola,10,375,18-10-2023,,,
T126,C084,regular,Beauty,Face Wash,4,347,13-12-2023,,,
T126,C084,regular,Beauty,Makeup Kit,3,1302,13-03-2023,,,
T127,C023,regular,Fashion,Dress,2,3047,03-07-2023,,,
T128,C440,regular,Beauty,Hair Serum,2,832,22-03-2023,,,
T129,C422,regular,FMCG,Soap,4,199,15-12-2023,,,
T129,C422,regular,FMCG,Shampoo,2,410,13-07-2023,,,
T130,C132,regular,Grocery,Rice,8,664,01-01-2023,,,
T130,C132,regular,Grocery,Cooking Oil,8,1334,05-10-2023,,,
T130,C132,regular,Grocery,Spices Pack,7,959,16-05-2023,,,
T130,C132,regular,FMCG,Toothpaste,7,444,02-04-2023,,,
T131,C366,regular,FMCG,Cola,6,498,21-08-2023,,,
T132,C173,regular,FMCG,Soap,9,60,15-12-2023,,,
T132,C173,regular,FMCG,Shampoo,6,305,24-08-2023,,,
T133,C209,regular,FMCG,Cola,9,458,22-03-2023,,,
T134,C437,regular,FMCG,Chips,8,495,08-06-2023,,,
T135,C291,regular,FMCG,Juice,2,421,27-10-2023,,,
T136,C438,regular,Home_Goods,Cookware Set,3,2254,13-11-2023,,,
T136,C438,regular,Home_Goods,Bath Towel,1,6211,27-12-2023,,,
T137,C266,regular,Grocery,Tea,8,1826,05-11-2023,,,
T137,C266,regular,FMCG,Biscuits,2,396,08-12-2023,,,
T138,C085,regular,Grocery,Wheat Flour,2,1241,27-08-2023,,,
T138,C085,regular,Grocery,Tea,3,581,07-07-2023,,,
T139,C021,regular,Grocery,Tea,4,1223,05-06-2023,,,
T139,C021,regular,FMCG,Biscuits,2,429,08-12-2023,,,
T139,C021,regular,Electronics,Charger,1,14199,22-07-2023,,,
T140,C278,premium,Electronics,Laptop,1,45871,02-11-2023,,,
T140,C278,premium,Electronics,Mouse,1,8289,19-12-2023,,,
T141,C490,regular,FMCG,Toothbrush,8,194,15-01-2023,,,
T142,C219,premium,Grocery,Lentils,5,859,27-10-2023,,,
T143,C311,regular,Beauty,Skincare Set,2,161,04-02-2023,,,
T143,C311,regular,Beauty,Face Cream,1,1990,02-02-2023,,,
T143,C311,regular,Beauty,Face Wash,3,842,23-11-2023,,,
T144,C225,regular,FMCG,Toothbrush,9,297,13-04-2023,,,
T145,C363,regular,Electronics,Mobile Phone,1,9464,09-11-2023,,,
T145,C363,regular,Electronics,Charger,1,17066,12-12-2023,,,
T145,C363,regular,Electronics,Earphones,1,38604,20-03-2023,,,
T146,C268,regular,Electronics,Mobile Phone,1,8805,15-11-2023,,,
T146,C268,regular,Electronics,Charger,1,40226,24-12-2023,,,
T146,C268,regular,Electronics,Earphones,1,24255,28-12-2023,,,
T147,C361,premium,Electronics,Laptop,2,2487,19-01-2023,,,
T147,C361,premium,Electronics,Mouse,1,14678,16-09-2023,,,
T148,C036,regular,FMCG,Juice,4,101,06-07-2023,,,
T148,C036,regular,FMCG,Chips,5,302,14-08-2023,,,
T148,C036,regular,FMCG,Shampoo,3,155,19-06-2023,,,
T149,C488,regular,Electronics,Mobile Phone,1,2993,14-12-2023,,,
T149,C488,regular,Electronics,Charger,1,14568,18-12-2023,,,
T149,C488,regular,Electronics,Earphones,1,5496,26-05-2023,,,
T150,C187,regular,Grocery,Sugar,5,985,17-05-2023,,,
T151,C172,regular,FMCG,Cola,8,195,03-07-2023,,,
T152,C474,regular,FMCG,Soap,4,265,06-12-2023,,,
T152,C474,regular,FMCG,Shampoo,8,220,07-05-2023,,,
T153,C471,regular,Grocery,Lentils,5,333,20-10-2023,,,
T153,C471,regular,Grocery,Rice,6,1064,17-10-2023,,,
T154,C197,regular,Grocery,Spices Pack,5,1546,22-01-2023,,,
T155,C114,premium,FMCG,Soap,8,335,18-12-2023,,,
T155,C114,premium,FMCG,Shampoo,8,142,05-11-2023,,,
T155,C114,premium,Electronics,Mouse,1,8029,04-12-2023,,,
T155,C114,premium,Grocery,Breakfast Cereal,4,1577,18-05-2023,,,
T156,C428,premium,Fashion,Handbag,3,4186,17-02-2023,,,
T156,C428,premium,Fashion,Jacket,4,3965,23-02-2023,,,
T157,C387,regular,FMCG,Cola,8,106,20-02-2023,,,
T158,C288,regular,Grocery,Sugar,8,593,08-09-2023,,,
T158,C288,regular,Grocery,Salt,2,481,21-06-2023,,,
T159,C266,regular,FMCG,Soap,9,56,24-03-2023,,,
T159,C266,regular,FMCG,Shampoo,6,69,26-04-2023,,,
T160,C462,regular,Beauty,Skincare Set,2,1076,15-05-2023,,,
T160,C462,regular,Beauty,Face Cream,2,1054,28-02-2023,,,
T160,C462,regular,Beauty,Face Wash,1,637,10-12-2023,,,
T161,C369,regular,Grocery,Rice,8,1930,03-02-2023,,,
T162,C313,regular,Fashion,Scarf,4,4756,02-03-2023,,,
T162,C313,regular,Fashion,T-shirt,4,4250,10-11-2023,,,
T163,C326,regular,Home_Goods,Cookware Set,4,250,23-07-2023,,,
T163,C326,regular,Home_Goods,Dinner Set,2,2363,21-03-2023,,,
T163,C326,regular,Beauty,Hair Serum,2,966,16-03-2023,,,
T164,C229,premium,FMCG,Soap,10,291,16-02-2023,,,
T164,C229,premium,FMCG,Shampoo,7,137,20-08-2023,,,
T165,C361,premium,Fashion,Dress,3,4455,05-07-2023,,,
T165,C361,premium,Fashion,Trouser,2,4410,10-06-2023,,,
T166,C383,regular,Electronics,Mobile Phone,1,6499,18-12-2023,,,
T166,C383,regular,Electronics,Charger,1,10595,15-11-2023,,,
T166,C383,regular,Electronics,Earphones,1,17356,05-12-2023,,,
T167,C194,regular,FMCG,Juice,8,228,10-05-2023,,,
T168,C479,regular,Fashion,Shirt,2,2815,15-03-2023,,,
T168,C479,regular,Fashion,Trouser,3,2832,24-03-2023,,,
T168,C479,regular,Beauty,Skincare Set,2,165,09-12-2023,,,
T169,C312,regular,Home_Goods,Bath Towel,4,307,10-04-2023,,,
T170,C490,regular,FMCG,Instant Noodles,4,466,25-03-2023,,,
T170,C490,regular,FMCG,Shampoo,3,449,06-02-2023,,,
T170,C490,regular,FMCG,Juice,3,434,10-08-2023,,,
T171,C456,regular,FMCG,Instant Noodles,5,124,03-07-2023,,,
T172,C222,regular,Grocery,Rice,5,792,08-07-2023,,,
T172,C222,regular,Grocery,Cooking Oil,7,751,11-10-2023,,,
T172,C222,regular,Grocery,Spices Pack,6,167,17-01-2023,,,
T172,C222,regular,Electronics,Mobile Phone,1,46261,14-12-2023,,,
T172,C222,regular,Fashion,Shirt,2,1665,14-11-2023,,,
T173,C496,regular,FMCG,Soap,6,205,16-02-2023,,,
T173,C496,regular,FMCG,Shampoo,10,113,25-12-2023,,,
T173,C496,regular,Home_Goods,Pillow,4,756,23-06-2023,,,
T173,C496,regular,Electronics,Tablet,1,13655,19-07-2023,,,
T173,C496,regular,Fashion,Shirt,4,999,11-01-2023,,,
T174,C278,premium,Home_Goods,Storage Box,4,6354,12-07-2023,,,
T174,C278,premium,Home_Goods,Pillow,2,7235,14-11-2023,,,
T175,C098,regular,Beauty,Face Wash,4,991,01-02-2023,,,
T175,C098,regular,Beauty,Skincare Set,1,1821,25-11-2023,,,
T176,C338,regular,Electronics,Tablet,1,36604,14-01-2023,,,
T176,C338,regular,Electronics,Charger,1,15437,12-04-2023,,,
T177,C037,regular,Grocery,Salt,6,381,16-05-2023,,,
T177,C037,regular,Grocery,Breakfast Cereal,2,842,18-04-2023,,,
T177,C037,regular,Grocery,Rice,2,1093,15-01-2023,,,
T177,C037,regular,Grocery,Spices Pack,5,1756,20-08-2023,,,
T178,C177,regular,FMCG,Soap,3,450,27-12-2023,,,
T179,C425,premium,FMCG,Juice,8,240,26-07-2023,,,
T180,C246,regular,Home_Goods,Bath Towel,2,1717,17-10-2023,,,
T180,C246,regular,Home_Goods,Cookware Set,3,1162,04-09-2023,,,
T181,C485,regular,Beauty,Compact Powder,1,1415,20-03-2023,,,
T182,C236,premium,Electronics,Smartwatch,1,20953,15-11-2023,,,
T182,C236,premium,Electronics,Charger,1,45848,13-07-2023,,,
T183,C211,regular,FMCG,Soap,9,131,09-01-2023,,,
T183,C211,regular,FMCG,Shampoo,4,157,01-08-2023,,,
T183,C211,regular,Fashion,Jeans,2,3933,11-05-2023,,,
T184,C367,regular,Fashion,Shirt,4,3255,25-11-2023,,,
T184,C367,regular,Fashion,Trouser,2,519,26-02-2023,,,
T184,C367,regular,Grocery,Salt,4,155,22-03-2023,,,
T184,C367,regular,Beauty,Nail Polish,3,528,09-01-2023,,,
T185,C180,regular,Beauty,Skincare Set,4,253,22-11-2023,,,
T186,C026,regular,Grocery,Tea,8,629,25-10-2023,,,
T186,C026,regular,FMCG,Biscuits,4,198,16-03-2023,,,
T186,C026,regular,Electronics,Earphones,1,20278,04-12-2023,,,
T187,C190,premium,Electronics,Tablet,1,46414,24-05-2023,,,
T188,C145,regular,Beauty,Face Wash,2,1533,05-07-2023,,,
T188,C145,regular,Beauty,Lipstick,2,1156,17-12-2023,,,
T189,C297,premium,Home_Goods,Cookware Set,2,1966,06-04-2023,,,
T189,C297,premium,Home_Goods,Dinner Set,2,1265,07-06-2023,,,
T189,C297,premium,Electronics,Power Bank,1,17467,11-11-2023,,,
T190,C401,regular,Fashion,Belt,3,2175,21-04-2023,,,
