Week,Year,TV_Spend,Digital_Spend,Social_Media_Spend,Radio_Spend,Print_Spend,OOH_Spend,Price_Index,Promotion_Flag,Holiday_Season,Competitor_Spend,Sales
24-04-2023,2023,290251.6877,104306.2511,85268.32042,31330.82043,32597.62189,40261.0181,1.065226387,0,0,192263.2062,48347.02444
01-05-2023,2023,305691.4079,161266.7338,157724.4512,57617.14796,11971.21056,57895.57993,1.069445595,0,0,343941.9031,55067.80148
08-05-2023,2023,232082.5426,91481.53392,84574.12688,40091.25892,30855.21286,91838.22098,1.085582707,0,0,374073.0532,47697.53531
15-05-2023,2023,253773.921,61940.35208,52147.26934,21137.36293,35133.82808,53749.50939,1.09011805,0,0,203068.09,48197.14401
22-05-2023,2023,305865.6494,108555.2526,122866.02,61313.09095,26323.5408,58691.12076,1.087676484,0,0,334894.0966,54791.46537
29-05-2023,2023,191746.0306,180899.9267,149328.7653,33519.5445,42756.00711,41497.12044,1.097317356,0,0,286217.2835,53241.83963
05-06-2023,2023,233429.8495,126088.1974,112244.4187,41666.20915,12544.85906,25040.59793,1.109212061,0,0,266797.8238,49794.94728
12-06-2023,2023,229310.3968,98088.49209,83766.1758,64192.87116,12035.58883,82533.65685,1.096935983,0,0,248772.6811,52074.30502
19-06-2023,2023,248340.1261,53366.7065,54528.18093,53339.19917,41005.2919,44658.29327,1.102909983,0,0,272294.0865,44490.29757
26-06-2023,2023,269787.1069,118396.7723,94513.59076,23345.83971,27910.14694,76936.41303,1.109921711,0,0,240046.2145,47854.3361
03-07-2023,2023,147063.8337,176768.4169,157221.4573,83909.89236,42365.82735,42392.76947,1.106946076,0,0,286234.4316,58544.85227
10-07-2023,2023,256710.1612,38794.08781,59444.24319,46800.79079,31590.74087,33732.05201,1.120703144,1,0,318253.1595,47513.14335
17-07-2023,2023,236739.0816,103491.5699,80639.77984,50199.10286,20947.25417,22905.75721,1.119202588,1,0,316987.996,46944.4697
24-07-2023,2023,68845.11152,130903.0858,132656.0698,41217.9769,44142.0027,74456.15604,1.120458352,0,0,257912.3276,48402.51488
31-07-2023,2023,201106.8255,136129.4296,129596.6109,65504.39885,42089.3009,57465.36721,1.118727634,1,0,314890.9987,56060.28502
07-08-2023,2023,93923.64512,123085.6095,93322.65814,64841.08981,37290.19593,92545.76952,1.118883425,0,0,194665.3207,50396.31529
14-08-2023,2023,83959.00738,114856.7623,110931.0584,60077.54993,27773.87742,53203.68173,1.107920674,0,0,237118.7992,55790.63611
21-08-2023,2023,269710.6281,94129.85888,79756.15879,76523.08525,37310.12286,90173.73797,1.093520165,1,0,328503.1117,53874.05039
28-08-2023,2023,263073.0123,60278.95508,71547.22487,72776.91166,21860.45836,27527.77096,1.109465216,0,0,259358.1693,45495.82817
04-09-2023,2023,235173.6541,135594.5697,143557.3461,31777.45222,13110.6255,72632.98262,1.100995602,0,0,169822.8109,51046.9109
11-09-2023,2023,124814.9495,162856.4444,147306.9068,54095.90287,47042.82587,69954.74845,1.091081679,0,0,218408.3115,59601.85806
18-09-2023,2023,59608.66793,177530.9731,149313.4905,44234.97208,16195.73857,69989.94971,1.069547777,0,0,253156.0863,53636.64087
25-09-2023,2023,186462.702,192737.4483,170099.5724,73387.70967,50736.78434,69111.47196,1.06315816,0,0,380179.5927,55737.20666
02-10-2023,2023,132805.1092,139007.566,120218.8912,25620.3064,30706.07431,79177.84076,1.049927262,0,0,297785.4723,53286.68978
09-10-2023,2023,75448.50337,149800.3347,125347.9529,46154.96559,13742.41607,73073.57331,1.066347414,0,0,383379.9693,50334.5558
16-10-2023,2023,156067.7409,188336.3812,180309.4479,58477.68809,31559.64964,33268.76156,1.076445585,0,0,286352.3117,55445.69001
23-10-2023,2023,68453.99722,163856.1514,166234.439,68421.58443,39735.54986,31801.71769,1.069564081,1,0,278556.879,53794.30981
30-10-2023,2023,235311.3589,176128.1785,177031.7292,26184.42722,35130.4407,93915.60003,1.092088439,0,0,205075.3263,57412.77955
06-11-2023,2023,98173.96438,191311.3517,177871.8087,63490.268,44463.30404,69513.19835,1.101906094,1,1,257939.4073,56340.40706
13-11-2023,2023,227962.0827,214080.4294,200000,15509.18849,32655.33783,75470.91507,1.09865778,0,1,157897.8838,54057.31126
20-11-2023,2023,122607.178,126286.2932,147013.7355,58985.94473,34197.88607,49105.54582,1.073663723,0,1,334301.0146,53368.07425
27-11-2023,2023,221850.7795,148910.19,141818.7065,21853.95715,42951.83381,22804.37568,1.096573149,0,1,356818.2568,51911.7657
04-12-2023,2023,236669.6166,107711.5775,106281.8119,37828.71533,20416.90192,25973.79159,1.082677424,0,1,238398.3709,50369.7209
11-12-2023,2023,161994.6489,181116.221,184715.5117,59401.66454,24792.26333,62222.29973,1.066223437,0,1,359418.5521,57997.54336
18-12-2023,2023,306246.3949,106656.8214,106158.2637,30144.46294,6567.954818,42055.08439,1.076449141,1,1,308109.8065,54464.91761
25-12-2023,2023,290175.5139,140369.4315,148947.0776,25956.61043,45124.44829,33405.74034,1.100846665,1,1,287747.9733,57306.78662
01-01-2024,2024,326216.1069,166957.3107,174599.9458,66414.83214,49379.25782,43017.44779,1.114689393,1,0,148758.1012,54885.98626
08-01-2024,2024,353916.4772,138737.8436,127214.2347,68560.85513,10560.43399,32807.47377,1.120328484,0,0,240596.3116,54649.86191
15-01-2024,2024,310794.3473,180999.4796,152569.6421,61568.3575,39846.33317,60363.01395,1.126276028,0,0,247777.4252,58263.96852
22-01-2024,2024,377871.2533,104264.5778,113961.839,69898.79836,40965.30255,45321.44554,1.134810183,0,0,172855.4314,52463.64182
29-01-2024,2024,177714.0162,103670.4704,104667.0677,54537.73738,10012.07474,78830.58741,1.142399469,0,0,182106.9423,51317.40008
05-02-2024,2024,203210.4522,223245.7664,193567.2554,49078.24106,31367.046,41851.59249,1.145211384,0,0,329297.4695,51694.03234
12-02-2024,2024,196433.8238,143491.7045,134894.7487,49744.33767,44052.49823,58423.2429,1.146253395,1,0,195364.7057,57079.5745
19-02-2024,2024,230249.3652,101183.141,104205.9689,38209.33665,9959.574826,17028.10767,1.145627463,0,0,276951.2403,48408.17082
26-02-2024,2024,285961.2065,139845.4116,138018.2275,89102.24224,37315.15405,21152.31641,1.138087817,0,0,334718.3851,54892.03362
04-03-2024,2024,234952.9407,172702.1232,175551.8116,59711.62789,20298.21871,39806.73669,1.135281067,0,0,313478.144,55630.68129
11-03-2024,2024,397821.8908,109754.0574,99394.74642,43640.00511,44030.40022,47562.21075,1.118351498,0,0,192691.6635,52974.45825
18-03-2024,2024,276509.863,167381.7613,150053.2701,44584.43407,46510.11225,55724.85501,1.117368102,0,0,338143.9688,51992.73172
25-03-2024,2024,256266.3592,92183.82228,68729.77268,82260.20678,44637.29449,31566.62624,1.107482191,0,1,169823.0516,49404.14182
01-04-2024,2024,307109.8516,58956.51017,71238.68288,22798.93742,27855.37092,72633.79931,1.096446298,0,0,217596.9584,41646.25756
08-04-2024,2024,224694.3812,126529.5369,102835.9485,61554.60419,42647.92292,81951.32685,1.098245239,0,0,298693.0405,52374.82578
15-04-2024,2024,393303.0869,128539.6273,119622.038,35296.44197,43363.91908,74947.11256,1.112165262,0,0,213190.1899,60042.53387
22-04-2024,2024,232825.1597,155529.9799,138552.0276,58538.30939,17219.21273,29002.52812,1.121348428,0,0,221455.0977,51010.28117
29-04-2024,2024,428349.4407,144212.4745,129586.2262,13911.85971,39234.54316,67118.65541,1.105643422,1,0,233605.1662,48521.25907
06-05-2024,2024,390732.7367,189409.3298,162717.3967,62493.70655,7548.92424,36050.98072,1.095747141,0,0,146747.801,59072.61585
13-05-2024,2024,276368.7209,107456.8715,112505.8341,63275.41277,26440.67054,37463.06789,1.105154853,0,0,162273.0471,60204.62513
20-05-2024,2024,167830.0804,86805.92815,77707.75196,45976.58285,13477.85238,85754.8254,1.095329979,0,0,305478.3601,51304.51967
27-05-2024,2024,348883.9739,148672.5111,129138.833,52260.71349,13012.94495,23383.16653,1.093083647,0,0,281110.4008,53553.64233
03-06-2024,2024,290954.2139,64159.15548,71702.57231,72636.63362,11161.16065,55749.03273,1.098584168,0,0,277668.8749,48897.33476
10-06-2024,2024,339854.5847,73851.51672,85355.418,56374.22972,33088.43292,56856.97222,1.088900724,0,0,220941.19,45677.71956
17-06-2024,2024,342525.3692,29455.27631,52033.3997,25256.61966,18426.12701,64308.8436,1.089954479,0,0,261921.2975,39740.3203
24-06-2024,2024,129330.2812,38731.20085,41866.72464,50366.08391,32554.92102,59578.75628,1.076614224,0,0,234105.1586,41832.1671
01-07-2024,2024,214799.9345,163549.0297,156750.1587,56118.17466,11740.73002,21639.11596,1.070600548,1,0,179204.1367,53144.25664
08-07-2024,2024,161348.3652,132992.3586,129041.1371,49380.00577,13467.88835,45533.90837,1.073798367,1,0,352594.8115,52874.17258
15-07-2024,2024,303894.3002,115175.6298,114724.0998,60283.04389,25671.7018,62038.28657,1.05786843,0,0,202059.624,56527.11195
22-07-2024,2024,251938.2069,62544.03147,77098.32936,75952.32036,34373.60816,33805.9209,1.062273177,0,0,218703.5047,49225.13401
29-07-2024,2024,162425.3522,63286.3517,49587.95847,87480.2699,20017.21002,51875.12618,1.062076799,1,0,299996.378,49520.67994
05-08-2024,2024,64836.14298,57842.46694,31592.67739,57254.8519,24061.32662,30539.71706,1.067601699,1,0,314248.2329,41258.3941
12-08-2024,2024,159463.0692,63722.79761,57476.7739,35801.45481,41241.57118,27622.80366,1.06984084,0,0,334111.5474,46551.83084
19-08-2024,2024,161413.4174,112368.1709,105912.0096,89109.73034,28097.82549,48800.66433,1.083482244,1,0,205151.4305,52175.7777
26-08-2024,2024,236660.733,115612.181,118270.9718,81421.95614,15287.23176,23662.2552,1.084734489,1,0,220757.2758,50442.76976
02-09-2024,2024,176711.7911,128971.5609,140475.5144,33010.80113,6261.502114,52562.2702,1.080440434,1,0,220083.8799,52176.27583
09-09-2024,2024,234234.0429,98351.0065,73956.35544,77990.21591,37009.6452,52328.07411,1.081663409,1,0,200944.164,50868.13335
16-09-2024,2024,128325.5263,193923.9865,168913.4378,77820.23972,7420.221623,73122.50871,1.087096389,0,0,290125.5766,55665.26889
23-09-2024,2024,83489.51384,161791.1067,166881.1036,48631.57618,38761.42359,31678.68562,1.08758499,1,0,378733.8533,56278.05125
30-09-2024,2024,229414.0915,137462.3848,122631.0339,57517.78992,19365.97411,35715.8212,1.087990907,0,0,346086.0218,52573.61147
07-10-2024,2024,224053.5761,158426.426,143491.7468,33034.08757,37327.28621,19452.51269,1.08097099,0,0,327926.5696,52123.66349
14-10-2024,2024,190229.1217,125502.7842,114175.7981,23784.2448,33301.84481,79487.48721,1.074341981,1,0,264263.1189,49593.35346
21-10-2024,2024,205168.3302,92219.60205,95248.40259,35843.59533,37682.62558,76836.61333,1.060315928,0,0,297690.96,52711.69746
28-10-2024,2024,165653.7422,128363.1105,132610.6354,61221.51693,16260.51206,34123.89135,1.077811695,0,0,228121.9329,52641.36782
04-11-2024,2024,146992.4204,192852.2386,179104.5978,15841.21387,29414.75881,86680.21479,1.065373063,0,1,276337.2145,52948.14596
11-11-2024,2024,143017.9594,99766.77159,99416.20145,38410.23378,19392.13683,28003.61079,1.058444011,0,1,268295.0302,53266.26431
18-11-2024,2024,90370.05746,91778.64199,101254.6484,39034.8832,15750.86378,51762.5559,1.051259938,0,1,203495.4866,47333.30039
25-11-2024,2024,94577.95831,98130.61145,111127.5739,33689.20259,28515.88711,61834.17925,1.060209182,0,1,294942.9544,52081.8691
02-12-2024,2024,114238.4984,100367.2368,79096.46075,60563.61349,31595.82329,81143.83414,1.057259685,1,1,400000,52282.40813
09-12-2024,2024,248765.2037,206152.6124,200000,31025.44019,36589.03725,61281.68465,1.069737106,0,1,181555.7129,57868.4253
16-12-2024,2024,227845.0657,202226.5058,183639.6965,36300.41564,30521.92207,70406.82638,1.0630022,0,1,185625.7194,56462.89338
23-12-2024,2024,229203.6332,173566.3714,155436.3517,64445.21335,17074.38861,43523.99902,1.065792141,1,1,263201.1688,58615.19392
30-12-2024,2024,300612.1837,110789.8594,119149.5147,43504.35739,18247.59485,79020.48551,1.057438671,0,1,319887.6723,57616.03827
